Company1_price_high,Company1_price_low,Company2_price_high,Company2_price_low,Company3_price_high,Company3_price_low,Company4_price_high,Company4_price_low
329.989990234375,322.0,0.4190048575401306,0.3990522623062134,3.9375,3.3125,18.290000915527344,17.610000610351562
313.0,292.25,0.4389574825763702,0.409028559923172,4.1875,3.875,18.18000030517578,17.739999771118164
295.0,277.0,0.4389574825763702,0.4190048575401306,4.75,4.0625,18.43000030517578,17.8700008392334
287.0,282.0,0.4389574825763702,0.4190048575401306,4.75,4.6875,19.399999618530277,18.316999435424805
290.0,267.0,0.4489337801933288,0.4190048575401306,4.6875,4.5625,19.020000457763672,18.549999237060547
290.0,290.0,0.4489337801933288,0.4289811551570892,4.375,4.1875,19.25,18.31999969482422
280.0,275.0,0.4489337801933288,0.4289811551570892,4.25,3.9375,18.209999084472656,17.780000686645508
274.75,252.0,0.4389574825763702,0.4190048575401306,4.0625,3.9375,18.5,17.816999435424805
255.0,234.5,0.4589100778102875,0.4289811551570892,4.1875,4.125,18.63999938964844,17.790000915527344
244.5,230.0500030517578,0.5187679529190063,0.4389574825763702,4.375,4.3125,18.61000061035156,18.149999618530277
242.0,235.75,0.4888390004634857,0.3790996372699737,4.375,4.3125,18.540000915527344,18.200000762939453
238.0,233.0,0.4289811551570892,0.3990522623062134,4.4375,4.3125,19.11000061035156,18.26000022888184
239.0,238.0,0.4289811551570892,0.409028559923172,4.3125,4.0625,19.347999572753903,18.700000762939453
240.0,240.0,0.4389574825763702,0.409028559923172,4.0,3.9375,18.90999984741211,18.5
240.0,240.0,0.4389574825763702,0.3990522623062134,4.0625,4.0,19.100000381469727,18.43000030517578
240.0,240.0,0.409028559923172,0.3990522623062134,4.125,4.0625,19.520000457763672,18.683000564575195
240.0,240.0,0.4190048575401306,0.3990522623062134,4.1875,4.1875,19.450000762939453,19.0
269.0,250.0,0.3990522623062134,0.3890759348869324,4.3125,4.0625,19.049999237060547,18.6200008392334
280.0,280.0,0.4190048575401306,0.3790996372699737,4.125,4.0625,18.979999542236328,18.6299991607666
279.8999938964844,270.0,0.3990522623062134,0.3391944169998169,4.0625,4.0,19.51000022888184,18.51000022888184
270.0,267.0,0.3790996372699737,0.3391944169998169,4.375,4.1875,20.93000030517578,19.649999618530277
264.5,260.0,0.3591470122337341,0.3391944169998169,4.3125,4.25,20.26000022888184,19.597999572753903
259.0,243.0,0.3790996372699737,0.3391944169998169,4.375,4.375,20.299999237060547,20.049999237060547
250.0,250.0,0.3990522623062134,0.3591470122337341,4.3125,4.25,20.25,19.899999618530277
260.0,260.0,0.3990522623062134,0.3691233396530151,4.375,4.25,20.09000015258789,19.81999969482422
265.5,261.0,0.3990522623062134,0.3790996372699737,4.3125,4.125,20.34000015258789,17.989999771118164
270.0,260.04998779296875,0.4190048575401306,0.3790996372699737,4.3125,4.125,20.25,19.309999465942383
275.0,275.0,0.3990522623062134,0.3790996372699737,4.1875,4.125,20.25,19.399999618530277
275.1000061035156,270.0,0.3990522623062134,0.3691233396530151,4.0,3.9375,21.399999618530277,20.21999931335449
270.0,270.0,0.3890759348869324,0.3691233396530151,4.0625,4.0625,21.399999618530277,19.584999084472656
270.0,270.0,0.3990522623062134,0.3691233396530151,4.25,4.1875,21.520000457763672,20.790000915527344
265.0,265.0,0.4289811551570892,0.3990522623062134,4.1875,4.1875,21.20499992370605,20.799999237060547
268.0,268.0,0.4389574825763702,0.409028559923172,4.1875,4.0,21.88999938964844,20.989999771118164
281.5,272.0,0.4389574825763702,0.4190048575401306,4.125,4.0625,21.88599967956543,21.3700008392334
281.0,279.3999938964844,0.4389574825763702,0.4190048575401306,4.0625,4.0,21.899999618530277,21.299999237060547
275.0,274.5,0.4389574825763702,0.4389574825763702,4.0625,4.0625,22.780000686645508,21.709999084472656
275.25,265.5,0.4788627028465271,0.4190048575401306,4.0625,4.0,22.21999931335449,21.780000686645508
268.5,266.29998779296875,0.4589100778102875,0.4190048575401306,4.0625,4.0,22.700000762939453,21.600000381469727
273.0,272.0,0.4389574825763702,0.4190048575401306,4.0,4.0,23.799999237060547,22.11000061035156
276.0,273.5,0.4389574825763702,0.3591470122337341,4.0625,4.0,22.270000457763672,20.690000534057617
300.0,285.0,0.3990522623062134,0.3391944169998169,4.0625,4.0,22.049999237060547,20.940000534057617
300.54998779296875,296.1000061035156,0.4190048575401306,0.3391944169998169,4.0625,3.9375,22.049999237060547,21.0
325.0,299.5,0.4389574825763702,0.3990522623062134,4.0625,4.0,21.690000534057617,18.040000915527344
320.5,320.5,0.4489337801933288,0.409028559923172,4.0625,4.0,21.57999992370605,20.84000015258789
335.0,320.0,0.4589100778102875,0.4289811551570892,4.3125,4.0625,22.18000030517578,21.270000457763672
320.0,320.0,0.4589100778102875,0.4289811551570892,4.25,4.125,23.350000381469727,22.0
335.0,320.0,0.4788627028465271,0.4389574825763702,4.3125,4.1875,23.76000022888184,22.850000381469727
326.0,326.0,0.4788627028465271,0.4389574825763702,4.25,4.1875,23.450000762939453,22.989999771118164
344.010009765625,335.0,0.4688864052295685,0.4190048575401306,4.25,4.25,23.780000686645508,22.899999618530277
355.04998779296875,345.0,0.4589100778102875,0.4190048575401306,4.5,4.3125,23.989999771118164,22.06999969482422
375.0,352.0,0.4389574825763702,0.3990522623062134,4.625,4.4375,24.489999771118164,23.200000762939453
370.0,364.6700134277344,0.4389574825763702,0.3990522623062134,5.375,4.5625,24.450000762939453,23.43199920654297
364.6700134277344,364.6700134277344,0.4589100778102875,0.3990522623062134,5.625,5.3125,24.170000076293945,22.55599975585937
365.0,341.5,0.4589100778102875,0.4190048575401306,5.5625,5.3125,24.350000381469727,23.690000534057617
349.6000061035156,349.0,0.4489337801933288,0.4190048575401306,5.4375,4.9375,24.989999771118164,24.304000854492188
349.6000061035156,349.6000061035156,0.4589100778102875,0.4289811551570892,5.125,5.0625,24.739999771118164,24.049999237060547
349.6000061035156,349.6000061035156,0.4688864052295685,0.4389574825763702,5.25,5.0625,25.21999931335449,24.368000030517575
350.0,340.0,0.4888390004634857,0.4489337801933288,5.0625,5.0625,25.100000381469727,24.100000381469727
350.0,350.0,0.4988153278827667,0.4589100778102875,5.1875,5.0625,25.100000381469727,24.850000381469727
345.0,342.0,0.5187679529190063,0.4788627028465271,5.1875,5.0625,25.229999542236328,24.030000686645508
330.0,329.0,0.5187679529190063,0.4788627028465271,5.1875,5.125,25.06999969482422,24.1200008392334
324.0,281.1499938964844,0.5187679529190063,0.4788627028465271,5.1875,5.125,25.05500030517578,23.51000022888184
324.0,324.0,0.5387205481529236,0.4289811551570892,5.25,5.1875,23.780000686645508,22.63999938964844
301.5,301.5,0.5786257386207581,0.5287442207336426,5.5,5.375,24.59000015258789,22.56999969482422
310.0,300.0,0.5985783934593201,0.5586731433868408,5.5,5.375,25.399999618530277,23.56999969482422
310.0,310.0,0.6584362387657166,0.5786257386207581,5.5,5.375,25.100000381469727,24.040000915527344
310.0,310.0,0.6384835839271545,0.5985783934593201,5.4375,5.375,25.489999771118164,24.46999931335449
310.0,310.0,0.6384835839271545,0.5786257386207581,5.375,5.25,25.020000457763672,23.950000762939453
310.0,310.0,0.6185309886932373,0.5886020660400391,5.375,5.25,25.100000381469727,24.0
310.0,310.0,0.6185309886932373,0.5886020660400391,5.375,5.25,25.36000061035156,24.31999969482422
315.0,315.0,0.6185309886932373,0.5886020660400391,5.3125,5.3125,25.25,23.68000030517578
321.0,320.5,0.6384835839271545,0.5985783934593201,5.1875,5.125,24.30900001525879,22.03499984741211
326.0,320.25,0.6185309886932373,0.5985783934593201,5.1875,5.0625,23.82999992370605,22.100000381469727
320.25,320.25,0.6185309886932373,0.5786257386207581,5.25,5.125,24.3799991607666,23.18000030517578
320.25,320.25,0.5786257386207581,0.5187679529190063,5.125,5.125,25.0,24.059999465942383
378.5,350.0,0.5786257386207581,0.5187679529190063,5.1875,5.1875,24.690000534057617,23.36000061035156
377.0,364.0,0.5786257386207581,0.5387205481529236,5.4375,5.1875,23.68000030517578,23.149999618530277
370.0,369.989990234375,0.5786257386207581,0.5387205481529236,5.4375,5.3125,24.149999618530277,23.21999931335449
363.0,352.0,0.5786257386207581,0.5387205481529236,5.25,5.25,24.93000030517578,23.549999237060547
352.20001220703125,345.0,0.5786257386207581,0.5586731433868408,5.375,5.25,25.350000381469727,24.850000381469727
353.7900085449219,350.0,0.5886020660400391,0.5586731433868408,5.1875,5.125,25.200000762939453,24.809999465942383
364.0,345.0,0.5985783934593201,0.5586731433868408,5.3125,5.1875,25.290000915527344,24.520000457763672
360.0,356.45001220703125,0.5985783934593201,0.5786257386207581,5.25,5.125,25.31999969482422,24.520000457763672
360.0,356.0,0.6285073161125183,0.5786257386207581,5.125,5.125,25.450000762939453,24.989999771118164
367.0,360.0,0.6085546612739563,0.5985783934593201,5.125,5.125,25.31999969482422,24.545000076293945
